종목명,종목코드,상장시장
60,60,KOSPI
80,80,KOSPI
100,100,KOSPI
120,120,KOSPI
150,150,KOSPI
240,240,KOSPI
250,250,KOSPI
270,270,KOSPI
660,660,KOSPI
670,670,KOSPI
720,720,KOSPI
810,810,KOSPI
880,880,KOSPI
990,990,KOSPI
1230,1230,KOSPI
1440,1440,KOSPI
1450,1450,KOSPI
1740,1740,KOSPI
2380,2380,KOSPI
2790,2790,KOSPI
3000,3000,KOSPI
3090,3090,KOSPI
3380,3380,KOSPI
3410,3410,KOSPI
3490,3490,KOSPI
3670,3670,KOSPI
3800,3800,KOSPI
4000,4000,KOSPI
4020,4020,KOSPI
4170,4170,KOSPI
4370,4370,KOSPI
4490,4490,KOSPI
4800,4800,KOSPI
4990,4990,KOSPI
5250,5250,KOSPI
5290,5290,KOSPI
5300,5300,KOSPI
5380,5380,KOSPI
5385,5385,KOSPI
5387,5387,KOSPI
5490,5490,KOSPI
5830,5830,KOSPI
5850,5850,KOSPI
5930,5930,KOSPI
5935,5935,KOSPI
5940,5940,KOSPI
6260,6260,KOSPI
6280,6280,KOSPI
6360,6360,KOSPI
6400,6400,KOSPI
6650,6650,KOSPI
6730,6730,KOSPI
6800,6800,KOSPI
7070,7070,KOSPI
7310,7310,KOSPI
7390,7390,KOSPI
8560,8560,KOSPI
8770,8770,KOSPI
8930,8930,KOSPI
9150,9150,KOSPI
9240,9240,KOSPI
9540,9540,KOSPI
9830,9830,KOSPI
9900,9900,KOSPI
10060,10060,KOSPI
10120,10120,KOSPI
10130,10130,KOSPI
10620,10620,KOSPI
10780,10780,KOSPI
10950,10950,KOSPI
11000,11000,KOSPI
11070,11070,KOSPI
11170,11170,KOSPI
11200,11200,KOSPI
11210,11210,KOSPI
11780,11780,KOSPI
12330,12330,KOSPI
12450,12450,KOSPI
12510,12510,KOSPI
12750,12750,KOSPI
13120,13120,KOSPI
13890,13890,KOSPI
14680,14680,KOSPI
15750,15750,KOSPI
15760,15760,KOSPI
16360,16360,KOSPI
16380,16380,KOSPI
17670,17670,KOSPI
17800,17800,KOSPI
18260,18260,KOSPI
18880,18880,KOSPI
19170,19170,KOSPI
20150,20150,KOSPI
21240,21240,KOSPI
22100,22100,KOSPI
23530,23530,KOSPI
24110,24110,KOSPI
25900,25900,KOSPI
25980,25980,KOSPI
26960,26960,KOSPI
27360,27360,KOSPI
28050,28050,KOSPI
28260,28260,KOSPI
28300,28300,KOSPI
28670,28670,KOSPI
29780,29780,KOSPI
30000,30000,KOSPI
30190,30190,KOSPI
30200,30200,KOSPI
30520,30520,KOSPI
31430,31430,KOSPI
32190,32190,KOSPI
32300,32300,KOSPI
32350,32350,KOSPI
32500,32500,KOSPI
32620,32620,KOSPI
32640,32640,KOSPI
32830,32830,KOSPI
33290,33290,KOSPI
